Time,Price
1480,1726.73
1481,1818.7
1482,1897.37
1483,1984.24
1484,2067.03
1485,2043.19
1486,2191.56
1487,2321.37
1488,2446.24
1489,2320.89
1490,2196.27
1491,2054.08
1492,2159.43
1493,2255.36
1494,2187.19
1495,2288.33
1496,2404.03
1497,2493.72
1498,2547.79
1499,2512.4
1500,2690.84
1501,2869.38
1502,2720.49
1503,2807.44
1504,2828.14
1505,2942.41
1506,2953.22
1507,2680.91
1508,2716.88
1509,2499.58
1510,2469.57
1511,2514.01
1512,2655.35
1513,2549.03
1514,2591.26
1515,2709.43
1516,2691.03
1517,2707.34
1518,2738.52
1519,2607.25
1520,2590.57
1521,2478.45
1522,2553.03
1523,2567.56
1524,2539.24
1525,2492.6
1526,2436.4
1527,2498.56
1528,2561
1529,2602.87
1530,2608.1
1531,2608.59
1532,2520.27
1533,2572.61
1534,2525.25
1535,2385.89
1536,2332.77
1537,2402.7
1538,2360.59
1539,2230.12
1540,1991.98
1541,1932.62
1542,2233.52
1543,2323.08
1544,2269.89
1545,2838.41
1546,2668.63
1547,2808.1
1548,2732.7
1549,2757.5
1550,2577.77
1551,2538.71
1552,2679.73
1553,2807.02
1554,2724.39
1555,2763.24
1556,2871.3
1557,2727.13
1558,2709.56
1559,2806.93
1560,2897.63
1561,3257.61
1562,3212.78
1563,3370.22
1564,3420.4
1565,3341.84
1566,3373.82
1567,3650.63
1568,3880.04
1569,4066.1
1570,4326.99
1571,4200.34
1572,4384.44
1573,4324.34
1574,4137.75
1575,4189.31
1576,4090.48
1577,3998.35
1578,4089.01
1579,4137.6
1580,4332.82
1581,4372.06
1582,4345.1
1583,4384.45
1584,4389.21
1585,4570.36
1586,4555.59
1587,4701.76
1588,4901.42
1589,4585.27
1590,4591.63
1591,4228.29
1592,4376.59
1593,4589.14
1594,4605.16
1595,4229.81
1596,4229.34
1597,4122.47
